동별(1),동별(2),동별(3),2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
동별(1),동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
합계,도봉구,창4동,27873,0.96,29034,27286,0.95,28722,26583,0.95,27982,26121,0.95,27496,26281,0.95,27664
합계,도봉구,창5동,25802,0.7,36860,25308,0.7,36154,24709,0.7,35299,24343,0.7,34776,24022,0.7,34317
합계,도봉구,도봉1동,22293,8.72,2557,21810,8.72,2501,21210,8.72,2432,20622,8.72,2365,20209,8.72,2318
합계,도봉구,도봉2동,28677,0.83,34551,27920,0.83,33639,26962,0.83,32484,26359,0.83,31758,26156,0.83,31513
합계,노원구,소계,537303,35.44,15162,527032,35.44,14872,514946,35.44,14530,508014,35.44,14335,502925,35.44,14191
합계,노원구,월계1동,23883,1.16,20589,23085,1.16,19901,22240,1.16,19172,21580,1.16,18603,21299,1.16,18361
합계,노원구,월계2동,27289,1.94,14066,27615,1.94,14235,26704,1.94,13765,26066,1.94,13436,25643,1.94,13218
합계,노원구,월계3동,31593,1.17,27003,30790,1.17,26316,30069,1.17,25700,29384,1.17,25115,28889,1.17,24691
합계,노원구,공릉2동,41071,6.82,6022,40360,6.82,5918,41004,6.82,6012,42538,6.82,6237,42361,6.82,6211
합계,노원구,하계1동,29305,1.55,18906,27965,1.55,18042,27036,1.55,17443,26982,1.55,17408,26723,1.55,17241
합계,노원구,하계2동,23318,0.51,45722,22723,0.51,44555,22034,0.51,43204,21642,0.51,42435,21369,0.51,41900
합계,노원구,중계본동,25875,1.97,13135,24942,1.97,12661,24009,1.97,12187,23477,1.97,11917,23131,1.97,11742
합계,노원구,중계1동,28061,0.63,44541,27556,0.63,43740,26877,0.63,42662,26580,0.63,42190,26425,0.63,41944
합계,노원구,중계4동,21324,1.7,12544,20752,1.7,12207,19975,1.7,11750,19601,1.7,11530,19306,1.7,11356
합계,노원구,상계1동,40121,5.62,7139,39204,5.62,6976,38275,5.62,6810,37857,5.62,6736,36995,5.62,6583
합계,노원구,상계2동,21220,0.61,34787,20692,0.61,33921,20143,0.61,33021,19629,0.61,32179,19266,0.61,31584
합계,노원구,상계5동,25483,0.44,57916,24797,0.44,56357,24077,1.01,23839,23737,1.01,23502,23157,1.01,22928
합계,노원구,상계8동,23953,0.67,35751,22963,0.67,34273,22598,0.67,33728,22344,0.67,33349,21892,0.67,32675
합계,노원구,상계9동,21919,0.81,27060,21221,0.81,26199,20529,0.81,25344,20071,0.81,24779,19751,0.81,24384
합계,노원구,상계10동,16619,0.8,20774,17631,0.8,22039,18731,0.8,23414,18477,0.8,23096,18246,0.8,22808
합계,노원구,상계3·4동,25818,5.62,4594,27184,5.62,4837,26268,5.05,5202,25324,5.05,5015,27606,5.05,5467
