"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20241120","8호선","암사역사공원","6673","5920","20241123"
"20241120","3호선","압구정","34028","36252","20241123"
"20241120","분당선","압구정로데오","19436","20708","20241123"
"20241120","5호선","애오개","7561","7520","20241123"
"20241120","경의선","야당","9231","9331","20241123"
"20241120","수인선","야목","412","349","20241123"
"20241120","분당선","야탑","27714","29607","20241123"
"20241120","6호선","약수","4254","4105","20241123"
"20241120","3호선","약수","14334","14240","20241123"
"20241120","중앙선","양수","1976","1967","20241123"
"20241120","중앙선","양원","3605","3491","20241123"
"20241120","3호선","양재(서초구청)","42800","44333","20241123"
"20241120","중앙선","양정","589","514","20241123"
"20241120","경원선","양주","8120","7842","20241123"
"20241120","2호선","양천구청","7895","8417","20241123"
"20241120","9호선","양천향교","11514","11862","20241123"
"20241120","5호선","양평","9045","8705","20241123"
"20241120","중앙선","양평","3329","3349","20241123"
"20241120","7호선","어린이대공원(세종대)","20181","20633","20241123"
"20241120","수인선","어천","1629","1569","20241123"
"20241120","9호선2~3단계","언주","13374","13480","20241123"
"20241120","5호선","여의나루","12670","14812","20241123"
"20241120","9호선","여의도","36146","34639","20241123"
"20241120","5호선","여의도","34403","35655","20241123"
"20241120","경강선","여주","3187","3168","20241123"
"20241120","경인선","역곡","29127","28740","20241123"
"20241120","2호선","역삼","60642","68947","20241123"
"20241120","6호선","역촌","4175","5026","20241123"
"20241120","수인선","연수","5062","4998","20241123"
"20241120","3호선","연신내","36865","35330","20241123"
"20241120","6호선","연신내","3","0","20241123"
"20241120","경원선","연천","873","804","20241123"
"20241120","9호선","염창","20002","19420","20241123"
"20241120","경부선","영등포","39933","40641","20241123"
"20241120","2호선","영등포구청","25697","26175","20241123"
"20241120","5호선","영등포구청","5503","5450","20241123"
"20241120","5호선","영등포시장","12801","13008","20241123"
"20241120","공항철도 1호선","영종","4391","4375","20241123"
"20241120","분당선","영통","9945","9875","20241123"
"20241120","3호선","오금","7718","6824","20241123"
"20241120","5호선","오금","4287","4424","20241123"
"20241120","경인선","오류동","11956","11323","20241123"
"20241120","분당선","오리","12664","10863","20241123"
"20241120","5호선","오목교(목동운동장앞)","22903","24332","20241123"
"20241120","수인선","오목천","5283","4509","20241123"
"20241120","중앙선","오빈","304","334","20241123"
"20241120","경부선","오산","10935","11059","20241123"
"20241120","경부선","오산대","4350","3859","20241123"
"20241120","안산선","오이도","8533","8475","20241123"
"20241120","경원선","옥수","66","49","20241123"
"20241120","3호선","옥수","9993","10325","20241123"
"20241120","7호선","온수(성공회대입구)","12219","11290","20241123"
